123	0.0	{"tag": "summary", "beta": "0.0", "phi_start": 46.096, "phi_end": 47.5048, "phi_drift": 1.4088, "phi_min": 44.363, "phi_max": 48.1071, "phi_spark": "▄▄▃▂▂▂▂▁▁▂▂▂▁▁▁▁▃▃▃▄▄▅▆▆▇█▇▇▇▇▆▆▇▆▆▆", "T_min": 0.4664, "T_max": 0.5212, "T_spark": "▁▁▁▂▂▂▂▂▂▃▃▃▃▃▃▃▄▅▆▇▇██▇▆▆▇▇▆▆▆▆▆▆▅▅", "vocab_start": 121, "vocab_end": 273}
123	0.6	{"tag": "summary", "beta": "0.6", "phi_start": 47.4868, "phi_end": 50.4817, "phi_drift": 2.9949, "phi_min": 47.2135, "phi_max": 51.3801, "phi_spark": "▁▁▂▂▁▁▁▂▁▁▂▁▁▁▁▁▃▄▃▄▅▄▅▆▆▆▇▇▇▇▆▆█▆▆▆", "T_min": 0.482, "T_max": 0.5509, "T_spark": "▁▁▂▂▃▃▃▂▃▄▅▅▅▅▅▄▅▆▇▇█▇▇▆▅▅▆▆▅▅▅▄▄▄▄▄", "vocab_start": 121, "vocab_end": 273}
777	0.0	{"tag": "summary", "beta": "0.0", "phi_start": 43.7476, "phi_end": 45.7057, "phi_drift": 1.9581, "phi_min": 43.7476, "phi_max": 46.4344, "phi_spark": "▁▁▃▃▃▃▃▁▁▁▂▂▂▁▃▃▄▄▅▅▄▄▄▄▅▆▆▇█▆▅▅▆▄▆▆", "T_min": 0.4616, "T_max": 0.5217, "T_spark": "▁▁▁▂▂▃▂▂▂▃▄▄▄▄▄▄▅▆▇▇▇█▇▆▆▆▆▇▆▆▆▅▅▅▄▄", "vocab_start": 121, "vocab_end": 273}
777	0.6	{"tag": "summary", "beta": "0.6", "phi_start": 43.5773, "phi_end": 45.9098, "phi_drift": 2.3325, "phi_min": 43.5773, "phi_max": 47.899, "phi_spark": "▁▂▂▂▂▂▂▃▂▃▃▃▃▃▂▂▄▃▄▅▆▅▅▇▆▆▆▇▇█▇▆▆▆▆▄", "T_min": 0.4798, "T_max": 0.551, "T_spark": "▁▁▂▂▃▃▃▂▂▃▄▄▄▄▄▄▅▆▆▇█▇▇▆▅▅▆▆▆▅▅▅▅▅▅▅", "vocab_start": 121, "vocab_end": 273}
2024	0.0	{"tag": "summary", "beta": "0.0", "phi_start": 45.0705, "phi_end": 43.6074, "phi_drift": -1.4631, "phi_min": 43.6074, "phi_max": 45.1484, "phi_spark": "▇▅▅▄▄▆▅▃▃▅▅▇█▆▅▆▆▄▇▆▆▇▇▆▅▄▆▆▄▄▄▆▃▂▂▁", "T_min": 0.4483, "T_max": 0.5085, "T_spark": "▁▁▁▁▁▂▁▁▁▂▂▃▃▃▃▃▄▅▆▇▇▇█▇▆▆▇▇▇▆▆▅▅▆▅▅", "vocab_start": 121, "vocab_end": 273}
2024	0.6	{"tag": "summary", "beta": "0.6", "phi_start": 47.9297, "phi_end": 47.5988, "phi_drift": -0.3309, "phi_min": 47.3276, "phi_max": 49.0721, "phi_spark": "▃▂▇█▆▇▅▆▄▄▃▂▂▁▂▃▃▃▁▃▃▅▂▃▃▂▂▄▄▂▃▃▁▁▁▂", "T_min": 0.4687, "T_max": 0.543, "T_spark": "▁▁▁▁▂▂▂▁▂▃▃▃▄▄▄▄▅▅▆▇█▇▇▆▆▆▆▇▆▆▅▅▅▅▅▄", "vocab_start": 121, "vocab_end": 273}
9999	0.0	{"tag": "summary", "beta": "0.0", "phi_start": 46.5715, "phi_end": 48.3112, "phi_drift": 1.7397, "phi_min": 46.5715, "phi_max": 48.5718, "phi_spark": "▁▁▂▃▃▄▄▄▅▆█▇▄▄▃▄▆▅▅▆▆▆▆▆▇▇▇▆▇▆▆▆▅▆▇▇", "T_min": 0.456, "T_max": 0.5249, "T_spark": "▁▁▁▁▂▂▂▂▂▃▄▄▄▄▄▅▅▆▇▇█▇▇▆▆▆▆▆▆▅▅▅▄▄▄▃", "vocab_start": 121, "vocab_end": 273}
9999	0.6	{"tag": "summary", "beta": "0.6", "phi_start": 48.478, "phi_end": 51.6463, "phi_drift": 3.1683, "phi_min": 48.478, "phi_max": 51.7996, "phi_spark": "▁▁▂▃▄▄▄▃▃▄▅▆▆▆▇▆▆▆▆▅▆▆▅▇▇█▇▆▆▆▇▆▆▆▇▇", "T_min": 0.4734, "T_max": 0.5494, "T_spark": "▁▁▁▂▂▃▃▂▃▄▅▅▅▅▅▅▅▆▇█▇▇▆▅▅▅▆▆▅▅▄▄▄▄▄▄", "vocab_start": 121, "vocab_end": 273}
12345	0.0	{"tag": "summary", "beta": "0.0", "phi_start": 46.463, "phi_end": 47.2438, "phi_drift": 0.7808, "phi_min": 45.5926, "phi_max": 47.8931, "phi_spark": "▃▃▅▄▄▃▂▂▃▂▂▃▁▃▃▂▂▃▅▄▄▂▂▄▃▄▄▄▄▃▄▅▆█▆▆", "T_min": 0.4536, "T_max": 0.5113, "T_spark": "▁▁▁▁▂▂▂▁▁▂▃▃▃▃▄▄▅▆▇▇▇█▇▇▆▆▇▇▇▆▆▆▆▆▅▅", "vocab_start": 121, "vocab_end": 273}
12345	0.6	{"tag": "summary", "beta": "0.6", "phi_start": 46.3882, "phi_end": 47.8306, "phi_drift": 1.4424, "phi_min": 46.3882, "phi_max": 49.0452, "phi_spark": "▁▂▄▅▄▅▄▅▅▄▄▆▇█▇▅▅▅▄▃▄▃▄▅▅▄▄▆▅▅▅▅▅▅▅▄", "T_min": 0.4686, "T_max": 0.5459, "T_spark": "▁▁▂▂▂▃▂▂▃▃▄▄▄▄▄▄▅▆▇▇█▇▇▆▅▆▆▆▅▅▅▅▅▅▅▅", "vocab_start": 121, "vocab_end": 273}
